Temperature (C),Humidity
19.98,71.79
43.03,40.79
34.28,56.63
28.95,69.55
11.24,87.58
11.24,80.28
7.32,92.08
39.65,54.35
29.04,60.73
33.32,60.78
5.82,93.3
43.8,41.73
38.3,55.83
13.49,86.61
12.27,90.69
12.34,90.47
17.17,72.51
25.99,64.12
22.28,75.84
16.65,82.59
29.47,67.21
10.58,100.0
16.69,82.83
19.65,82.09
23.24,76.88
36.41,59.57
12.99,82.84
25.57,73.11
28.7,61.7
6.86,90.59
29.3,62.41
11.82,86.22
7.6,100.0
42.96,39.12
43.63,51.08
37.34,47.13
17.18,77.02
8.91,94.76
32.37,61.48
22.61,67.48
9.88,84.57
24.81,73.63
6.38,88.7
41.37,51.43
15.35,81.81
31.5,58.94
17.47,89.76
25.8,72.21
26.87,57.63
12.39,86.06
43.78,44.15
36.01,61.06
42.58,44.94
40.79,50.47
28.92,67.83
41.87,54.08
8.54,83.75
12.84,82.92
6.81,89.45
18.01,75.12
20.55,84.17
15.85,83.0
38.15,47.92
19.27,81.47
16.24,91.13
26.71,73.11
10.64,79.64
37.09,53.07
7.98,96.76
44.48,43.09
35.89,59.15
12.95,88.33
5.22,89.1
37.62,54.56
33.27,43.86
34.16,53.89
35.85,55.72
7.96,84.21
19.34,84.96
9.63,81.29
39.52,50.37
29.93,64.74
18.24,85.32
7.54,83.77
17.44,84.89
18.01,78.44
34.18,54.07
30.5,65.71
40.49,52.41
23.89,68.33
9.78,88.61
33.53,57.84
35.43,58.05
27.45,70.37
35.84,64.92
24.75,64.11
25.91,79.57
22.1,63.72
6.02,92.02
9.32,91.76
6.26,93.9
30.46,60.34
17.57,77.87
25.34,67.12
41.3,47.49
14.97,86.28
21.42,76.09
35.22,54.27
14.15,87.52
8.08,91.84
16.59,84.16
11.45,89.41
42.19,45.23
37.32,52.41
30.34,67.33
39.86,55.22
37.15,55.32
12.46,85.63
40.7,57.55
26.57,65.15
37.3,57.98
40.84,49.98
17.72,77.65
9.4,94.21
14.12,87.19
22.08,77.57
37.72,61.26
39.43,52.79
5.28,97.08
25.43,67.93
21.7,75.59
13.88,82.69
9.79,88.73
18.5,80.77
42.72,44.65
17.93,88.95
25.75,64.07
33.12,54.18
19.55,82.34
43.87,51.31
43.5,50.92
15.07,85.06
24.89,70.07
17.04,75.07
16.39,80.71
6.48,88.84
29.38,69.62
25.11,69.14
7.06,87.4
16.15,79.02
41.33,52.47
14.58,79.68
10.8,82.93
24.58,71.72
44.43,47.91
14.68,79.85
31.89,59.38
35.46,58.6
14.51,75.35
34.13,52.01
19.71,72.75
30.29,62.58
30.34,65.15
26.43,75.66
8.61,93.95
38.41,53.11
17.83,78.51
12.46,80.03
6.63,91.95
28.64,64.19
32.1,63.09
5.66,89.07
25.48,72.02
14.06,90.79
30.81,62.49
11.97,87.64
32.64,64.29
20.47,73.43
42.47,50.16
10.5,87.46
18.64,78.12
9.54,84.69
41.99,49.74
40.09,54.38
15.32,88.87
31.4,67.12
37.69,65.54
27.21,63.51
26.19,72.94
14.67,83.31
8.72,100.0
40.89,46.89
41.02,46.58
30.32,60.61
18.56,67.11
18.97,74.61
34.04,55.36
40.88,51.69
40.48,53.13
36.2,65.95
30.68,67.93
8.37,87.08
11.47,81.75
40.94,53.33
29.26,58.29
5.37,100.0
9.06,95.03
31.54,59.81
5.2,85.19
11.43,93.05
26.95,67.09
32.68,66.98
31.08,54.73
13.97,80.24
33.49,59.84
14.49,82.85
18.02,76.13
34.86,61.28
30.99,57.48
38.97,52.53
31.3,63.04
27.73,69.29
8.75,93.06
19.71,70.73
15.61,73.6
14.76,88.68
43.92,48.96
20.72,71.39
40.68,58.94
30.25,64.28
36.79,61.75
25.11,70.21
28.08,76.61
24.7,79.14
12.81,83.38
33.9,64.18
16.23,83.75
5.97,99.68
30.82,58.19
12.08,88.93
42.62,54.15
43.16,39.42
41.59,44.17
19.81,66.04
5.62,91.91
42.13,53.03
22.13,80.96
43.67,47.97
43.54,55.89
39.12,46.16
